,Date,Close
0,"Jan 18, 2019",25.92
1,"Jan 17, 2019",25.48
2,"Jan 16, 2019",25.19
3,"Jan 15, 2019",25.13
4,"Jan 14, 2019",25.09
5,"Jan 11, 2019",25.18
6,"Jan 10, 2019",24.94
7,"Jan 09, 2019",25.32
8,"Jan 08, 2019",25.20
9,"Jan 07, 2019",24.70
10,"Jan 04, 2019",24.35
11,"Jan 03, 2019",23.89
12,"Jan 02, 2019",23.83
13,"Dec 31, 2018",23.08
14,"Dec 28, 2018",22.83
15,"Dec 27, 2018",22.90
16,"Dec 26, 2018",23.72
17,"Dec 24, 2018",22.82
18,"Dec 21, 2018",23.49
19,"Dec 20, 2018",24.25
20,"Dec 19, 2018",25.15
21,"Dec 18, 2018",25.11
22,"Dec 17, 2018",25.63
23,"Dec 14, 2018",26.02
24,"Dec 13, 2018",25.99
25,"Dec 12, 2018",26.05
26,"Dec 11, 2018",25.91
27,"Dec 10, 2018",26.40
28,"Dec 07, 2018",26.90
29,"Dec 06, 2018",26.99
