,Date,Close
0,"Jan 18, 2019",29.80
1,"Jan 17, 2019",29.34
2,"Jan 16, 2019",28.55
3,"Jan 15, 2019",28.25
4,"Jan 14, 2019",27.61
5,"Jan 11, 2019",28.15
6,"Jan 10, 2019",28.64
7,"Jan 09, 2019",28.26
8,"Jan 08, 2019",28.68
9,"Jan 07, 2019",28.60
10,"Jan 04, 2019",28.28
11,"Jan 03, 2019",26.42
12,"Jan 02, 2019",25.88
13,"Dec 31, 2018",24.97
14,"Dec 28, 2018",24.96
15,"Dec 27, 2018",24.38
16,"Dec 26, 2018",24.89
17,"Dec 24, 2018",23.98
18,"Dec 21, 2018",25.02
19,"Dec 20, 2018",26.48
20,"Dec 19, 2018",27.96
21,"Dec 18, 2018",29.05
22,"Dec 17, 2018",29.94
23,"Dec 14, 2018",30.65
24,"Dec 13, 2018",30.80
25,"Dec 12, 2018",32.20
26,"Dec 11, 2018",31.62
27,"Dec 10, 2018",31.98
28,"Dec 07, 2018",31.93
29,"Dec 06, 2018",32.00
