,Date,Close
0,"Jan 18, 2019",94.66
1,"Jan 17, 2019",94.57
2,"Jan 16, 2019",93.86
3,"Jan 15, 2019",95.95
4,"Jan 14, 2019",97.23
5,"Jan 11, 2019",97.28
6,"Jan 10, 2019",96.41
7,"Jan 09, 2019",97.17
8,"Jan 08, 2019",98.60
9,"Jan 07, 2019",97.96
10,"Jan 04, 2019",92.89
11,"Jan 03, 2019",90.76
12,"Jan 02, 2019",91.20
13,"Dec 31, 2018",90.32
14,"Dec 28, 2018",87.73
15,"Dec 27, 2018",87.33
16,"Dec 26, 2018",88.02
17,"Dec 24, 2018",83.35
18,"Dec 21, 2018",83.46
19,"Dec 20, 2018",83.77
20,"Dec 19, 2018",86.23
21,"Dec 18, 2018",85.86
22,"Dec 17, 2018",85.01
23,"Dec 14, 2018",85.86
24,"Dec 13, 2018",85.05
25,"Dec 12, 2018",84.58
26,"Dec 11, 2018",84.81
27,"Dec 10, 2018",83.82
28,"Dec 07, 2018",83.39
29,"Dec 06, 2018",86.25
