,Date,Close
0,"Jan 18, 2019",57.37
1,"Jan 17, 2019",56.72
2,"Jan 16, 2019",57.27
3,"Jan 15, 2019",56.77
4,"Jan 14, 2019",55.96
5,"Jan 11, 2019",56.07
6,"Jan 10, 2019",55.16
7,"Jan 09, 2019",53.92
8,"Jan 08, 2019",54.06
9,"Jan 07, 2019",54.37
10,"Jan 04, 2019",54.00
11,"Jan 03, 2019",50.98
12,"Jan 02, 2019",51.73
13,"Dec 31, 2018",51.46
14,"Dec 28, 2018",50.37
15,"Dec 27, 2018",50.68
16,"Dec 26, 2018",50.82
17,"Dec 24, 2018",48.73
18,"Dec 21, 2018",49.82
19,"Dec 20, 2018",51.22
20,"Dec 19, 2018",53.38
21,"Dec 18, 2018",55.08
22,"Dec 17, 2018",56.70
23,"Dec 14, 2018",58.02
24,"Dec 13, 2018",59.40
25,"Dec 12, 2018",58.52
26,"Dec 11, 2018",57.57
27,"Dec 10, 2018",58.01
28,"Dec 07, 2018",58.96
29,"Dec 06, 2018",61.82
