,Date,Close
0,"Jan 18, 2019",27.14
1,"Jan 17, 2019",26.39
2,"Jan 16, 2019",25.89
3,"Jan 15, 2019",26.40
4,"Jan 14, 2019",26.17
5,"Jan 11, 2019",26.36
6,"Jan 10, 2019",26.29
7,"Jan 09, 2019",25.83
8,"Jan 08, 2019",25.55
9,"Jan 07, 2019",25.35
10,"Jan 04, 2019",24.57
11,"Jan 03, 2019",23.52
12,"Jan 02, 2019",23.21
13,"Dec 31, 2018",22.54
14,"Dec 28, 2018",22.46
15,"Dec 27, 2018",22.90
16,"Dec 26, 2018",22.71
17,"Dec 24, 2018",20.98
18,"Dec 21, 2018",21.91
19,"Dec 20, 2018",22.51
20,"Dec 19, 2018",23.85
21,"Dec 18, 2018",24.41
22,"Dec 17, 2018",25.51
23,"Dec 14, 2018",25.84
24,"Dec 13, 2018",26.87
25,"Dec 12, 2018",27.28
26,"Dec 11, 2018",26.75
27,"Dec 10, 2018",26.27
28,"Dec 07, 2018",27.20
29,"Dec 06, 2018",27.75
