,Date,Close
0,"Jan 18, 2019",62.62
1,"Jan 17, 2019",61.94
2,"Jan 16, 2019",61.31
3,"Jan 15, 2019",60.71
4,"Jan 14, 2019",60.22
5,"Jan 11, 2019",61.08
6,"Jan 10, 2019",60.63
7,"Jan 09, 2019",59.19
8,"Jan 08, 2019",59.16
9,"Jan 07, 2019",57.36
10,"Jan 04, 2019",57.32
11,"Jan 03, 2019",54.71
12,"Jan 02, 2019",54.49
13,"Dec 31, 2018",53.17
14,"Dec 28, 2018",52.95
15,"Dec 27, 2018",53.44
16,"Dec 26, 2018",52.13
17,"Dec 24, 2018",50.03
18,"Dec 21, 2018",50.48
19,"Dec 20, 2018",52.74
20,"Dec 19, 2018",54.07
21,"Dec 18, 2018",55.18
22,"Dec 17, 2018",55.49
23,"Dec 14, 2018",56.76
24,"Dec 13, 2018",58.08
25,"Dec 12, 2018",58.15
26,"Dec 11, 2018",58.34
27,"Dec 10, 2018",58.86
28,"Dec 07, 2018",58.93
29,"Dec 06, 2018",60.52
