,Date,Close
0,"Jan 18, 2019",92.52
1,"Jan 17, 2019",89.31
2,"Jan 16, 2019",89.92
3,"Jan 15, 2019",89.49
4,"Jan 14, 2019",88.58
5,"Jan 11, 2019",90.70
6,"Jan 10, 2019",91.01
7,"Jan 09, 2019",88.91
8,"Jan 08, 2019",89.02
9,"Jan 07, 2019",87.59
10,"Jan 04, 2019",84.42
11,"Jan 03, 2019",78.71
12,"Jan 02, 2019",80.37
13,"Dec 31, 2018",78.91
14,"Dec 28, 2018",79.30
15,"Dec 27, 2018",79.43
16,"Dec 26, 2018",77.89
17,"Dec 24, 2018",74.72
18,"Dec 21, 2018",76.57
19,"Dec 20, 2018",77.44
20,"Dec 19, 2018",78.36
21,"Dec 18, 2018",80.00
22,"Dec 17, 2018",79.23
23,"Dec 14, 2018",80.16
24,"Dec 13, 2018",80.86
25,"Dec 12, 2018",82.99
26,"Dec 11, 2018",83.44
27,"Dec 10, 2018",83.73
28,"Dec 07, 2018",82.52
29,"Dec 06, 2018",83.88
