,Date,Close
0,"Jan 18, 2019",31.00
1,"Jan 17, 2019",30.38
2,"Jan 16, 2019",30.29
3,"Jan 15, 2019",30.67
4,"Jan 14, 2019",30.21
5,"Jan 11, 2019",30.41
6,"Jan 10, 2019",30.57
7,"Jan 09, 2019",30.29
8,"Jan 08, 2019",30.00
9,"Jan 07, 2019",29.47
10,"Jan 04, 2019",28.97
11,"Jan 03, 2019",28.32
12,"Jan 02, 2019",28.85
13,"Dec 31, 2018",28.07
14,"Dec 28, 2018",28.24
15,"Dec 27, 2018",28.03
16,"Dec 26, 2018",27.85
17,"Dec 24, 2018",26.14
18,"Dec 21, 2018",26.58
19,"Dec 20, 2018",27.99
20,"Dec 19, 2018",28.30
21,"Dec 18, 2018",28.50
22,"Dec 17, 2018",28.48
23,"Dec 14, 2018",28.91
24,"Dec 13, 2018",29.02
25,"Dec 12, 2018",29.04
26,"Dec 11, 2018",29.05
27,"Dec 10, 2018",28.98
28,"Dec 07, 2018",29.06
29,"Dec 06, 2018",29.47
