,Date,Close
0,"Jan 18, 2019",76.51
1,"Jan 17, 2019",77.03
2,"Jan 16, 2019",76.38
3,"Jan 15, 2019",75.79
4,"Jan 14, 2019",74.45
5,"Jan 11, 2019",75.93
6,"Jan 10, 2019",76.55
7,"Jan 09, 2019",75.30
8,"Jan 08, 2019",75.90
9,"Jan 07, 2019",75.44
10,"Jan 04, 2019",76.55
11,"Jan 03, 2019",75.33
12,"Jan 02, 2019",75.14
13,"Dec 31, 2018",76.46
14,"Dec 28, 2018",76.48
15,"Dec 27, 2018",76.83
16,"Dec 26, 2018",76.09
17,"Dec 24, 2018",75.32
18,"Dec 21, 2018",79.96
19,"Dec 20, 2018",80.73
20,"Dec 19, 2018",80.10
21,"Dec 18, 2018",80.21
22,"Dec 17, 2018",80.63
23,"Dec 14, 2018",83.83
24,"Dec 13, 2018",83.93
25,"Dec 12, 2018",82.47
26,"Dec 11, 2018",83.25
27,"Dec 10, 2018",82.91
28,"Dec 07, 2018",82.46
29,"Dec 06, 2018",81.63
