,Date,Close
0,"Jan 18, 2019",104.24
1,"Jan 17, 2019",101.05
2,"Jan 16, 2019",98.41
3,"Jan 15, 2019",97.41
4,"Jan 14, 2019",96.17
5,"Jan 11, 2019",96.65
6,"Jan 10, 2019",96.66
7,"Jan 09, 2019",96.00
8,"Jan 08, 2019",94.39
9,"Jan 07, 2019",93.68
10,"Jan 04, 2019",94.25
11,"Jan 03, 2019",91.34
12,"Jan 02, 2019",93.04
13,"Dec 31, 2018",93.13
14,"Dec 28, 2018",92.86
15,"Dec 27, 2018",94.13
16,"Dec 26, 2018",92.70
17,"Dec 24, 2018",90.00
18,"Dec 21, 2018",91.00
19,"Dec 20, 2018",91.28
20,"Dec 19, 2018",94.23
21,"Dec 18, 2018",95.12
22,"Dec 17, 2018",97.24
23,"Dec 14, 2018",97.18
24,"Dec 13, 2018",97.12
25,"Dec 12, 2018",98.05
26,"Dec 11, 2018",97.04
27,"Dec 10, 2018",98.44
28,"Dec 07, 2018",99.36
29,"Dec 06, 2018",100.32
