,Date,Close
0,"Jan 18, 2019",54.88
1,"Jan 17, 2019",53.51
2,"Jan 16, 2019",54.18
3,"Jan 15, 2019",55.05
4,"Jan 14, 2019",58.15
5,"Jan 11, 2019",59.32
6,"Jan 10, 2019",59.34
7,"Jan 09, 2019",58.40
8,"Jan 08, 2019",57.66
9,"Jan 07, 2019",57.34
10,"Jan 04, 2019",58.42
11,"Jan 03, 2019",56.84
12,"Jan 02, 2019",56.75
13,"Dec 31, 2018",56.77
14,"Dec 28, 2018",57.23
15,"Dec 27, 2018",57.00
16,"Dec 26, 2018",56.20
17,"Dec 24, 2018",54.33
18,"Dec 21, 2018",56.18
19,"Dec 20, 2018",58.26
20,"Dec 19, 2018",58.42
21,"Dec 18, 2018",57.49
22,"Dec 17, 2018",58.19
23,"Dec 14, 2018",59.64
24,"Dec 13, 2018",59.53
25,"Dec 12, 2018",59.54
26,"Dec 11, 2018",58.89
27,"Dec 10, 2018",58.84
28,"Dec 07, 2018",58.51
29,"Dec 06, 2018",57.54
