,Date,Close
0,"Jan 18, 2019",81.20
1,"Jan 17, 2019",79.12
2,"Jan 16, 2019",76.78
3,"Jan 15, 2019",75.72
4,"Jan 14, 2019",76.43
5,"Jan 11, 2019",76.90
6,"Jan 10, 2019",76.45
7,"Jan 09, 2019",76.35
8,"Jan 08, 2019",75.44
9,"Jan 07, 2019",74.84
10,"Jan 04, 2019",74.83
11,"Jan 03, 2019",71.40
12,"Jan 02, 2019",73.09
13,"Dec 31, 2018",73.11
14,"Dec 28, 2018",72.30
15,"Dec 27, 2018",72.70
16,"Dec 26, 2018",71.02
17,"Dec 24, 2018",67.69
18,"Dec 21, 2018",69.16
19,"Dec 20, 2018",69.71
20,"Dec 19, 2018",70.59
21,"Dec 18, 2018",71.42
22,"Dec 17, 2018",70.48
23,"Dec 14, 2018",71.50
24,"Dec 13, 2018",71.95
25,"Dec 12, 2018",72.53
26,"Dec 11, 2018",72.55
27,"Dec 10, 2018",72.72
28,"Dec 07, 2018",73.20
29,"Dec 06, 2018",75.73
