,Date,Close
0,"Jan 18, 2019",63.68
1,"Jan 17, 2019",62.00
2,"Jan 16, 2019",61.38
3,"Jan 15, 2019",61.52
4,"Jan 14, 2019",61.69
5,"Jan 11, 2019",62.02
6,"Jan 10, 2019",62.11
7,"Jan 09, 2019",61.40
8,"Jan 08, 2019",60.67
9,"Jan 07, 2019",60.17
10,"Jan 04, 2019",59.72
11,"Jan 03, 2019",58.46
12,"Jan 02, 2019",59.75
13,"Dec 31, 2018",59.75
14,"Dec 28, 2018",59.13
15,"Dec 27, 2018",59.33
16,"Dec 26, 2018",58.47
17,"Dec 24, 2018",55.49
18,"Dec 21, 2018",56.87
19,"Dec 20, 2018",56.70
20,"Dec 19, 2018",57.68
21,"Dec 18, 2018",58.49
22,"Dec 17, 2018",58.72
23,"Dec 14, 2018",60.44
24,"Dec 13, 2018",60.73
25,"Dec 12, 2018",61.08
26,"Dec 11, 2018",62.28
27,"Dec 10, 2018",62.55
28,"Dec 07, 2018",62.95
29,"Dec 06, 2018",63.79
