,Date,Close
0,"Jan 18, 2019",101.05
1,"Jan 17, 2019",99.05
2,"Jan 16, 2019",98.67
3,"Jan 15, 2019",98.59
4,"Jan 14, 2019",98.51
5,"Jan 11, 2019",96.87
6,"Jan 10, 2019",99.12
7,"Jan 09, 2019",99.19
8,"Jan 08, 2019",95.52
9,"Jan 07, 2019",94.51
10,"Jan 04, 2019",93.92
11,"Jan 03, 2019",89.97
12,"Jan 02, 2019",90.61
13,"Dec 31, 2018",87.21
14,"Dec 28, 2018",87.52
15,"Dec 27, 2018",88.79
16,"Dec 26, 2018",88.99
17,"Dec 24, 2018",82.86
18,"Dec 21, 2018",87.26
19,"Dec 20, 2018",89.74
20,"Dec 19, 2018",92.98
21,"Dec 18, 2018",94.01
22,"Dec 17, 2018",96.21
23,"Dec 14, 2018",100.08
24,"Dec 13, 2018",102.83
25,"Dec 12, 2018",103.93
26,"Dec 11, 2018",102.07
27,"Dec 10, 2018",101.71
28,"Dec 07, 2018",103.61
29,"Dec 06, 2018",102.13
