,Date,Close
0,"Jan 18, 2019",67.67
1,"Jan 17, 2019",67.28
2,"Jan 16, 2019",66.66
3,"Jan 15, 2019",66.41
4,"Jan 14, 2019",65.58
5,"Jan 11, 2019",65.99
6,"Jan 10, 2019",66.05
7,"Jan 09, 2019",64.75
8,"Jan 08, 2019",65.10
9,"Jan 07, 2019",63.93
10,"Jan 04, 2019",64.09
11,"Jan 03, 2019",63.45
12,"Jan 02, 2019",63.49
13,"Dec 31, 2018",65.04
14,"Dec 28, 2018",64.67
15,"Dec 27, 2018",64.78
16,"Dec 26, 2018",64.24
17,"Dec 24, 2018",63.38
18,"Dec 21, 2018",66.47
19,"Dec 20, 2018",67.17
20,"Dec 19, 2018",67.29
21,"Dec 18, 2018",67.06
22,"Dec 17, 2018",67.25
23,"Dec 14, 2018",69.77
24,"Dec 13, 2018",70.23
25,"Dec 12, 2018",69.45
26,"Dec 11, 2018",70.17
27,"Dec 10, 2018",69.64
28,"Dec 07, 2018",69.46
29,"Dec 06, 2018",69.14
