,Date,Close
0,"Jan 18, 2019",259.93
1,"Jan 17, 2019",258.18
2,"Jan 16, 2019",256.66
3,"Jan 15, 2019",252.60
4,"Jan 14, 2019",248.89
5,"Jan 11, 2019",249.43
6,"Jan 10, 2019",248.68
7,"Jan 09, 2019",245.06
8,"Jan 08, 2019",245.27
9,"Jan 07, 2019",239.29
10,"Jan 04, 2019",238.30
11,"Jan 03, 2019",237.84
12,"Jan 02, 2019",236.59
13,"Dec 31, 2018",245.21
14,"Dec 28, 2018",246.06
15,"Dec 27, 2018",245.71
16,"Dec 26, 2018",244.80
17,"Dec 24, 2018",239.65
18,"Dec 21, 2018",251.75
19,"Dec 20, 2018",255.39
20,"Dec 19, 2018",255.60
21,"Dec 18, 2018",258.09
22,"Dec 17, 2018",254.27
23,"Dec 14, 2018",262.28
24,"Dec 13, 2018",261.73
25,"Dec 12, 2018",258.12
26,"Dec 11, 2018",263.29
27,"Dec 10, 2018",262.60
28,"Dec 07, 2018",263.66
29,"Dec 06, 2018",265.68
