,Date,Close
0,"Jan 18, 2019",50.66
1,"Jan 17, 2019",49.72
2,"Jan 16, 2019",49.34
3,"Jan 15, 2019",47.80
4,"Jan 14, 2019",47.60
5,"Jan 11, 2019",47.88
6,"Jan 10, 2019",47.66
7,"Jan 09, 2019",47.47
8,"Jan 08, 2019",46.35
9,"Jan 07, 2019",45.57
10,"Jan 04, 2019",45.28
11,"Jan 03, 2019",43.40
12,"Jan 02, 2019",44.47
13,"Dec 31, 2018",43.88
14,"Dec 28, 2018",43.53
15,"Dec 27, 2018",43.48
16,"Dec 26, 2018",43.22
17,"Dec 24, 2018",41.27
18,"Dec 21, 2018",41.74
19,"Dec 20, 2018",42.45
20,"Dec 19, 2018",43.10
21,"Dec 18, 2018",43.51
22,"Dec 17, 2018",43.23
23,"Dec 14, 2018",43.55
24,"Dec 13, 2018",44.26
25,"Dec 12, 2018",45.62
26,"Dec 11, 2018",44.90
27,"Dec 10, 2018",45.11
28,"Dec 07, 2018",45.74
29,"Dec 06, 2018",47.40
