,Date,Close
0,"Jan 18, 2019",71.87
1,"Jan 17, 2019",70.97
2,"Jan 16, 2019",70.10
3,"Jan 15, 2019",69.88
4,"Jan 14, 2019",70.38
5,"Jan 11, 2019",70.22
6,"Jan 10, 2019",70.19
7,"Jan 09, 2019",69.06
8,"Jan 08, 2019",68.18
9,"Jan 07, 2019",68.73
10,"Jan 04, 2019",68.53
11,"Jan 03, 2019",66.63
12,"Jan 02, 2019",68.61
13,"Dec 31, 2018",68.66
14,"Dec 28, 2018",68.24
15,"Dec 27, 2018",68.73
16,"Dec 26, 2018",67.79
17,"Dec 24, 2018",64.86
18,"Dec 21, 2018",66.37
19,"Dec 20, 2018",67.11
20,"Dec 19, 2018",68.01
21,"Dec 18, 2018",68.88
22,"Dec 17, 2018",69.18
23,"Dec 14, 2018",70.58
24,"Dec 13, 2018",70.80
25,"Dec 12, 2018",71.11
26,"Dec 11, 2018",70.92
27,"Dec 10, 2018",71.33
28,"Dec 07, 2018",71.25
29,"Dec 06, 2018",73.29
