,Date,Close
0,"Jan 18, 2019",86.29
1,"Jan 17, 2019",86.03
2,"Jan 16, 2019",86.40
3,"Jan 15, 2019",86.64
4,"Jan 14, 2019",84.71
5,"Jan 11, 2019",85.82
6,"Jan 10, 2019",86.63
7,"Jan 09, 2019",85.45
8,"Jan 08, 2019",85.90
9,"Jan 07, 2019",84.40
10,"Jan 04, 2019",84.80
11,"Jan 03, 2019",84.17
12,"Jan 02, 2019",84.00
13,"Dec 31, 2018",86.07
14,"Dec 28, 2018",85.49
15,"Dec 27, 2018",85.34
16,"Dec 26, 2018",84.44
17,"Dec 24, 2018",83.24
18,"Dec 21, 2018",86.76
19,"Dec 20, 2018",87.34
20,"Dec 19, 2018",86.84
21,"Dec 18, 2018",87.09
22,"Dec 17, 2018",86.78
23,"Dec 14, 2018",89.78
24,"Dec 13, 2018",90.46
25,"Dec 12, 2018",88.91
26,"Dec 11, 2018",89.59
27,"Dec 10, 2018",89.15
28,"Dec 07, 2018",88.46
29,"Dec 06, 2018",88.25
