,Date,Close
0,"Jan 18, 2019",56.66
1,"Jan 17, 2019",56.60
2,"Jan 16, 2019",56.29
3,"Jan 15, 2019",56.35
4,"Jan 14, 2019",56.04
5,"Jan 11, 2019",56.47
6,"Jan 10, 2019",56.86
7,"Jan 09, 2019",56.06
8,"Jan 08, 2019",56.61
9,"Jan 07, 2019",55.95
10,"Jan 04, 2019",55.89
11,"Jan 03, 2019",55.67
12,"Jan 02, 2019",55.88
13,"Dec 31, 2018",56.77
14,"Dec 28, 2018",56.53
15,"Dec 27, 2018",56.73
16,"Dec 26, 2018",56.58
17,"Dec 24, 2018",55.91
18,"Dec 21, 2018",58.28
19,"Dec 20, 2018",58.01
20,"Dec 19, 2018",58.08
21,"Dec 18, 2018",58.25
22,"Dec 17, 2018",58.35
23,"Dec 14, 2018",60.54
24,"Dec 13, 2018",60.23
25,"Dec 12, 2018",59.83
26,"Dec 11, 2018",60.63
27,"Dec 10, 2018",60.51
28,"Dec 07, 2018",60.31
29,"Dec 06, 2018",60.77
