,Date,Close
0,"Jan 18, 2019",46.08
1,"Jan 17, 2019",46.02
2,"Jan 16, 2019",45.80
3,"Jan 15, 2019",45.79
4,"Jan 14, 2019",45.04
5,"Jan 11, 2019",45.79
6,"Jan 10, 2019",45.79
7,"Jan 09, 2019",45.02
8,"Jan 08, 2019",45.39
9,"Jan 07, 2019",44.70
10,"Jan 04, 2019",44.62
11,"Jan 03, 2019",44.12
12,"Jan 02, 2019",44.07
13,"Dec 31, 2018",45.10
14,"Dec 28, 2018",44.74
15,"Dec 27, 2018",44.78
16,"Dec 26, 2018",44.48
17,"Dec 24, 2018",43.83
18,"Dec 21, 2018",45.89
19,"Dec 20, 2018",45.81
20,"Dec 19, 2018",45.72
21,"Dec 18, 2018",45.80
22,"Dec 17, 2018",45.61
23,"Dec 14, 2018",47.06
24,"Dec 13, 2018",46.95
25,"Dec 12, 2018",46.89
26,"Dec 11, 2018",46.89
27,"Dec 10, 2018",47.00
28,"Dec 07, 2018",46.96
29,"Dec 06, 2018",46.90
