,Date,Close
0,"Jan 18, 2019",69.29
1,"Jan 17, 2019",67.94
2,"Jan 16, 2019",67.03
3,"Jan 15, 2019",67.00
4,"Jan 14, 2019",68.29
5,"Jan 11, 2019",68.40
6,"Jan 10, 2019",68.73
7,"Jan 09, 2019",68.67
8,"Jan 08, 2019",67.86
9,"Jan 07, 2019",67.24
10,"Jan 04, 2019",66.92
11,"Jan 03, 2019",64.98
12,"Jan 02, 2019",67.31
13,"Dec 31, 2018",68.09
14,"Dec 28, 2018",66.38
15,"Dec 27, 2018",67.02
16,"Dec 26, 2018",65.97
17,"Dec 24, 2018",63.11
18,"Dec 21, 2018",64.76
19,"Dec 20, 2018",66.44
20,"Dec 19, 2018",66.70
21,"Dec 18, 2018",68.99
22,"Dec 17, 2018",69.64
23,"Dec 14, 2018",70.48
24,"Dec 13, 2018",70.81
25,"Dec 12, 2018",72.26
26,"Dec 11, 2018",71.35
27,"Dec 10, 2018",71.22
28,"Dec 07, 2018",70.57
29,"Dec 06, 2018",74.30
