,Date,Close
0,"Jan 18, 2019",106.89
1,"Jan 17, 2019",105.65
2,"Jan 16, 2019",105.64
3,"Jan 15, 2019",105.01
4,"Jan 14, 2019",104.51
5,"Jan 11, 2019",104.10
6,"Jan 10, 2019",106.13
7,"Jan 09, 2019",106.79
8,"Jan 08, 2019",104.95
9,"Jan 07, 2019",102.63
10,"Jan 04, 2019",99.93
11,"Jan 03, 2019",96.16
12,"Jan 02, 2019",95.22
13,"Dec 31, 2018",92.70
14,"Dec 28, 2018",91.89
15,"Dec 27, 2018",92.88
16,"Dec 26, 2018",91.99
17,"Dec 24, 2018",85.67
18,"Dec 21, 2018",88.77
19,"Dec 20, 2018",89.03
20,"Dec 19, 2018",90.60
21,"Dec 18, 2018",87.93
22,"Dec 17, 2018",88.54
23,"Dec 14, 2018",92.71
24,"Dec 13, 2018",96.32
25,"Dec 12, 2018",98.49
26,"Dec 11, 2018",100.04
27,"Dec 10, 2018",100.63
28,"Dec 07, 2018",102.70
29,"Dec 06, 2018",101.82
