,Date,Close
0,"Feb 05, 2019",170.49
1,"Feb 01, 2019",165.71
2,"Jan 31, 2019",166.69
3,"Jan 30, 2019",150.42
4,"Jan 29, 2019",144.19
5,"Jan 28, 2019",147.47
6,"Jan 25, 2019",149.01
7,"Jan 24, 2019",145.83
8,"Jan 23, 2019",144.30
9,"Jan 22, 2019",147.57
10,"Jan 18, 2019",150.04
11,"Jan 17, 2019",148.30
12,"Jan 16, 2019",147.54
13,"Jan 15, 2019",148.95
14,"Jan 14, 2019",145.39
15,"Jan 11, 2019",143.80
16,"Jan 10, 2019",144.20
17,"Jan 09, 2019",144.23
18,"Jan 08, 2019",142.53
19,"Jan 07, 2019",138.05
20,"Jan 04, 2019",137.95
21,"Jan 03, 2019",131.74
22,"Jan 02, 2019",135.68
23,"Dec 31, 2018",131.09
24,"Dec 28, 2018",133.20
25,"Dec 27, 2018",134.52
26,"Dec 26, 2018",134.18
27,"Dec 24, 2018",124.06
28,"Dec 21, 2018",124.95
