,Date,Close
0,"Feb 05, 2019",45.21
1,"Feb 01, 2019",44.90
2,"Jan 31, 2019",45.30
3,"Jan 30, 2019",43.54
4,"Jan 29, 2019",43.06
5,"Jan 28, 2019",42.44
6,"Jan 25, 2019",41.95
7,"Jan 24, 2019",42.00
8,"Jan 23, 2019",41.16
9,"Jan 22, 2019",41.77
10,"Jan 18, 2019",43.06
11,"Jan 17, 2019",42.23
12,"Jan 16, 2019",41.43
13,"Jan 15, 2019",42.04
14,"Jan 14, 2019",42.71
15,"Jan 11, 2019",42.86
16,"Jan 10, 2019",42.58
17,"Jan 09, 2019",42.16
18,"Jan 08, 2019",40.94
19,"Jan 07, 2019",40.80
20,"Jan 04, 2019",39.88
21,"Jan 03, 2019",37.66
22,"Jan 02, 2019",38.50
23,"Dec 31, 2018",37.99
24,"Dec 28, 2018",37.62
25,"Dec 27, 2018",37.90
26,"Dec 26, 2018",37.39
27,"Dec 24, 2018",35.96
28,"Dec 21, 2018",37.13
