,Date,Close
0,"Feb 05, 2019",11.84
1,"Feb 01, 2019",11.51
2,"Jan 31, 2019",11.64
3,"Jan 30, 2019",11.27
4,"Jan 29, 2019",10.45
5,"Jan 28, 2019",10.28
6,"Jan 25, 2019",11.24
7,"Jan 24, 2019",10.70
8,"Jan 23, 2019",12.31
9,"Jan 22, 2019",12.38
10,"Jan 18, 2019",12.56
11,"Jan 17, 2019",12.13
12,"Jan 16, 2019",11.89
13,"Jan 15, 2019",11.57
14,"Jan 14, 2019",11.55
15,"Jan 11, 2019",11.60
16,"Jan 10, 2019",11.51
17,"Jan 09, 2019",11.51
18,"Jan 08, 2019",11.20
19,"Jan 07, 2019",11.00
20,"Jan 04, 2019",10.82
21,"Jan 03, 2019",10.07
22,"Jan 02, 2019",10.36
23,"Dec 31, 2018",10.31
24,"Dec 28, 2018",10.47
25,"Dec 27, 2018",10.67
26,"Dec 26, 2018",10.40
27,"Dec 24, 2018",9.78
28,"Dec 21, 2018",10.05
