,Date,Close
0,"Feb 05, 2019",183.14
1,"Feb 01, 2019",179.31
2,"Jan 31, 2019",177.57
3,"Jan 30, 2019",177.47
4,"Jan 29, 2019",173.58
5,"Jan 28, 2019",173.96
6,"Jan 25, 2019",175.36
7,"Jan 24, 2019",174.10
8,"Jan 23, 2019",173.68
9,"Jan 22, 2019",175.90
10,"Jan 18, 2019",176.91
11,"Jan 17, 2019",173.27
12,"Jan 16, 2019",171.36
13,"Jan 15, 2019",170.63
14,"Jan 14, 2019",171.55
15,"Jan 11, 2019",170.99
16,"Jan 10, 2019",170.12
17,"Jan 09, 2019",170.59
18,"Jan 08, 2019",167.02
19,"Jan 07, 2019",166.73
20,"Jan 04, 2019",164.43
21,"Jan 03, 2019",157.19
22,"Jan 02, 2019",163.19
23,"Dec 31, 2018",161.33
24,"Dec 28, 2018",158.98
25,"Dec 27, 2018",161.02
26,"Dec 26, 2018",160.15
27,"Dec 24, 2018",152.70
28,"Dec 21, 2018",158.00
