,Date,Close
0,"Feb 05, 2019",26.74
1,"Feb 01, 2019",26.87
2,"Jan 31, 2019",26.82
3,"Jan 30, 2019",27.04
4,"Jan 29, 2019",27.43
5,"Jan 28, 2019",27.68
6,"Jan 25, 2019",27.78
7,"Jan 24, 2019",27.65
8,"Jan 23, 2019",27.57
9,"Jan 22, 2019",27.56
10,"Jan 18, 2019",27.00
11,"Jan 17, 2019",26.41
12,"Jan 16, 2019",26.26
13,"Jan 15, 2019",25.46
14,"Jan 14, 2019",25.37
15,"Jan 11, 2019",25.06
16,"Jan 10, 2019",24.92
17,"Jan 09, 2019",25.05
18,"Jan 08, 2019",25.03
19,"Jan 07, 2019",24.90
20,"Jan 04, 2019",24.76
21,"Jan 03, 2019",24.18
22,"Jan 02, 2019",24.20
23,"Dec 31, 2018",23.53
24,"Dec 28, 2018",23.37
25,"Dec 27, 2018",23.54
26,"Dec 26, 2018",23.53
27,"Dec 24, 2018",22.36
28,"Dec 21, 2018",22.73
