,Date,Close
0,"Feb 05, 2019",49.11
1,"Feb 01, 2019",48.62
2,"Jan 31, 2019",48.88
3,"Jan 30, 2019",48.52
4,"Jan 29, 2019",46.98
5,"Jan 28, 2019",47.14
6,"Jan 25, 2019",46.91
7,"Jan 24, 2019",45.60
8,"Jan 23, 2019",44.70
9,"Jan 22, 2019",44.73
10,"Jan 18, 2019",45.39
11,"Jan 17, 2019",44.89
12,"Jan 16, 2019",44.10
13,"Jan 15, 2019",44.01
14,"Jan 14, 2019",44.37
15,"Jan 11, 2019",44.60
16,"Jan 10, 2019",44.64
17,"Jan 09, 2019",44.28
18,"Jan 08, 2019",43.91
19,"Jan 07, 2019",43.00
20,"Jan 04, 2019",43.38
21,"Jan 03, 2019",41.92
22,"Jan 02, 2019",43.09
23,"Dec 31, 2018",43.54
24,"Dec 28, 2018",42.64
25,"Dec 27, 2018",42.94
26,"Dec 26, 2018",42.36
27,"Dec 24, 2018",41.36
28,"Dec 21, 2018",42.00
