,Date,Close
0,"Feb 05, 2019",203.71
1,"Feb 01, 2019",202.99
2,"Jan 31, 2019",201.81
3,"Jan 30, 2019",202.61
4,"Jan 29, 2019",197.57
5,"Jan 28, 2019",198.50
6,"Jan 25, 2019",199.77
7,"Jan 24, 2019",196.58
8,"Jan 23, 2019",197.00
9,"Jan 22, 2019",195.94
10,"Jan 18, 2019",198.32
11,"Jan 17, 2019",192.61
12,"Jan 16, 2019",191.31
13,"Jan 15, 2019",191.05
14,"Jan 14, 2019",188.74
15,"Jan 11, 2019",189.00
16,"Jan 10, 2019",190.06
17,"Jan 09, 2019",189.57
18,"Jan 08, 2019",187.45
19,"Jan 07, 2019",186.03
20,"Jan 04, 2019",184.94
21,"Jan 03, 2019",181.60
22,"Jan 02, 2019",185.55
23,"Dec 31, 2018",185.72
24,"Dec 28, 2018",183.49
25,"Dec 27, 2018",185.10
26,"Dec 26, 2018",182.80
27,"Dec 24, 2018",175.50
28,"Dec 21, 2018",176.40
