,Date,Close
0,"Feb 05, 2019",133.08
1,"Feb 01, 2019",132.17
2,"Jan 31, 2019",132.57
3,"Jan 30, 2019",131.44
4,"Jan 29, 2019",130.36
5,"Jan 28, 2019",129.49
6,"Jan 25, 2019",128.46
7,"Jan 24, 2019",126.69
8,"Jan 23, 2019",126.10
9,"Jan 22, 2019",126.30
10,"Jan 18, 2019",125.91
11,"Jan 17, 2019",125.60
12,"Jan 16, 2019",125.03
13,"Jan 15, 2019",124.30
14,"Jan 14, 2019",123.00
15,"Jan 11, 2019",123.41
16,"Jan 10, 2019",123.70
17,"Jan 09, 2019",121.96
18,"Jan 08, 2019",121.97
19,"Jan 07, 2019",119.42
20,"Jan 04, 2019",117.90
21,"Jan 03, 2019",116.59
22,"Jan 02, 2019",115.81
23,"Dec 31, 2018",118.04
24,"Dec 28, 2018",120.33
25,"Dec 27, 2018",120.23
26,"Dec 26, 2018",119.84
27,"Dec 24, 2018",115.33
28,"Dec 21, 2018",119.71
