,Date,Close
0,"Feb 22, 2019",22.71
1,"Feb 21, 2019",22.65
2,"Feb 20, 2019",24.59
3,"Feb 19, 2019",23.95
4,"Feb 15, 2019",23.54
5,"Feb 14, 2019",22.85
6,"Feb 13, 2019",22.70
7,"Feb 12, 2019",22.61
8,"Feb 11, 2019",22.71
9,"Feb 08, 2019",22.35
10,"Feb 07, 2019",22.52
11,"Feb 06, 2019",23.77
12,"Feb 05, 2019",23.60
13,"Feb 04, 2019",23.52
14,"Feb 01, 2019",23.17
15,"Jan 31, 2019",22.96
16,"Jan 30, 2019",23.14
17,"Jan 29, 2019",23.02
18,"Jan 28, 2019",22.85
19,"Jan 25, 2019",23.30
20,"Jan 24, 2019",22.86
21,"Jan 23, 2019",22.58
22,"Jan 22, 2019",23.02
23,"Jan 18, 2019",24.08
24,"Jan 17, 2019",23.27
25,"Jan 16, 2019",23.03
26,"Jan 15, 2019",22.71
27,"Jan 14, 2019",22.59
28,"Jan 11, 2019",22.60
29,"Jan 10, 2019",22.68
