,Date,Close
0,"Feb 05, 2019",81.91
1,"Feb 01, 2019",78.90
2,"Jan 31, 2019",76.57
3,"Jan 30, 2019",75.16
4,"Jan 29, 2019",73.21
5,"Jan 28, 2019",73.72
6,"Jan 25, 2019",73.59
7,"Jan 24, 2019",72.52
8,"Jan 23, 2019",71.48
9,"Jan 22, 2019",69.85
10,"Jan 18, 2019",70.50
11,"Jan 17, 2019",72.65
12,"Jan 16, 2019",72.34
13,"Jan 15, 2019",74.63
14,"Jan 14, 2019",72.26
15,"Jan 11, 2019",73.27
16,"Jan 10, 2019",73.21
17,"Jan 09, 2019",73.08
18,"Jan 08, 2019",71.55
19,"Jan 07, 2019",70.09
20,"Jan 04, 2019",66.91
21,"Jan 03, 2019",67.57
22,"Jan 02, 2019",69.68
23,"Dec 31, 2018",70.43
24,"Dec 28, 2018",70.34
25,"Dec 27, 2018",70.39
26,"Dec 26, 2018",68.57
27,"Dec 24, 2018",65.51
28,"Dec 21, 2018",65.84
