,Date,Close
0,"Feb 05, 2019",172.68
1,"Feb 01, 2019",169.03
2,"Jan 31, 2019",171.17
3,"Jan 30, 2019",170.91
4,"Jan 29, 2019",176.00
5,"Jan 28, 2019",172.19
6,"Jan 25, 2019",171.22
7,"Jan 24, 2019",170.82
8,"Jan 23, 2019",168.81
9,"Jan 22, 2019",167.22
10,"Jan 18, 2019",168.58
11,"Jan 17, 2019",165.72
12,"Jan 16, 2019",163.60
13,"Jan 15, 2019",163.14
14,"Jan 14, 2019",164.53
15,"Jan 11, 2019",163.81
16,"Jan 10, 2019",162.43
17,"Jan 09, 2019",160.90
18,"Jan 08, 2019",158.66
19,"Jan 07, 2019",158.65
20,"Jan 04, 2019",157.77
21,"Jan 03, 2019",153.37
22,"Jan 02, 2019",157.26
23,"Dec 31, 2018",157.21
24,"Dec 28, 2018",155.32
25,"Dec 27, 2018",155.12
26,"Dec 26, 2018",152.17
27,"Dec 24, 2018",148.21
28,"Dec 21, 2018",150.49
