,Date,Close
0,"Feb 05, 2019",68.18
1,"Feb 01, 2019",70.05
2,"Jan 31, 2019",70.01
3,"Jan 30, 2019",69.83
4,"Jan 29, 2019",69.59
5,"Jan 28, 2019",67.91
6,"Jan 25, 2019",68.90
7,"Jan 24, 2019",67.86
8,"Jan 23, 2019",68.25
9,"Jan 22, 2019",68.55
10,"Jan 18, 2019",69.18
11,"Jan 17, 2019",68.65
12,"Jan 16, 2019",67.64
13,"Jan 15, 2019",68.52
14,"Jan 14, 2019",67.25
15,"Jan 11, 2019",68.16
16,"Jan 10, 2019",68.04
17,"Jan 09, 2019",67.94
18,"Jan 08, 2019",68.09
19,"Jan 07, 2019",68.56
20,"Jan 04, 2019",68.25
21,"Jan 03, 2019",65.25
22,"Jan 02, 2019",63.44
23,"Dec 31, 2018",62.55
24,"Dec 28, 2018",61.88
25,"Dec 27, 2018",62.94
26,"Dec 26, 2018",63.22
27,"Dec 24, 2018",60.54
28,"Dec 21, 2018",62.62
