,Date,Close
0,"Jan 18, 2019",30.63
1,"Jan 17, 2019",30.27
2,"Jan 16, 2019",30.07
3,"Jan 15, 2019",30.10
4,"Jan 14, 2019",29.85
5,"Jan 11, 2019",30.05
6,"Jan 10, 2019",30.35
7,"Jan 09, 2019",29.68
8,"Jan 08, 2019",29.48
9,"Jan 07, 2019",29.20
10,"Jan 04, 2019",29.21
11,"Jan 03, 2019",28.03
12,"Jan 02, 2019",29.88
13,"Dec 31, 2018",30.21
14,"Dec 28, 2018",29.75
15,"Dec 27, 2018",29.70
16,"Dec 26, 2018",29.18
17,"Dec 24, 2018",27.97
18,"Dec 21, 2018",28.78
19,"Dec 20, 2018",29.55
20,"Dec 19, 2018",30.06
21,"Dec 18, 2018",30.65
22,"Dec 17, 2018",30.90
23,"Dec 14, 2018",31.43
24,"Dec 13, 2018",31.97
25,"Dec 12, 2018",31.98
26,"Dec 11, 2018",31.59
27,"Dec 10, 2018",31.76
28,"Dec 07, 2018",31.43
29,"Dec 06, 2018",32.27
