,Date,Close
0,"Feb 05, 2019",15.52
1,"Feb 01, 2019",15.19
2,"Jan 31, 2019",14.99
3,"Jan 30, 2019",14.95
4,"Jan 29, 2019",15.23
5,"Jan 28, 2019",15.36
6,"Jan 25, 2019",15.20
7,"Jan 24, 2019",14.71
8,"Jan 23, 2019",14.80
9,"Jan 22, 2019",14.58
10,"Jan 18, 2019",14.84
11,"Jan 17, 2019",14.32
12,"Jan 16, 2019",13.81
13,"Jan 15, 2019",13.78
14,"Jan 14, 2019",13.81
15,"Jan 11, 2019",13.70
16,"Jan 10, 2019",13.62
17,"Jan 09, 2019",13.82
18,"Jan 08, 2019",13.75
19,"Jan 07, 2019",13.31
20,"Jan 04, 2019",12.90
21,"Jan 03, 2019",12.52
22,"Jan 02, 2019",12.67
23,"Dec 31, 2018",12.53
24,"Dec 28, 2018",12.19
25,"Dec 27, 2018",12.29
26,"Dec 26, 2018",12.39
27,"Dec 24, 2018",11.62
28,"Dec 21, 2018",11.89
