,Date,Close
0,"Feb 05, 2019",139.86
1,"Feb 01, 2019",139.71
2,"Jan 31, 2019",139.43
3,"Jan 30, 2019",139.06
4,"Jan 29, 2019",138.03
5,"Jan 28, 2019",131.73
6,"Jan 25, 2019",132.90
7,"Jan 24, 2019",132.69
8,"Jan 23, 2019",133.79
9,"Jan 22, 2019",132.97
10,"Jan 18, 2019",134.54
11,"Jan 17, 2019",134.06
12,"Jan 16, 2019",132.31
13,"Jan 15, 2019",131.49
14,"Jan 14, 2019",129.26
15,"Jan 11, 2019",129.14
16,"Jan 10, 2019",129.75
17,"Jan 09, 2019",128.30
18,"Jan 08, 2019",126.19
19,"Jan 07, 2019",124.44
20,"Jan 04, 2019",123.39
21,"Jan 03, 2019",119.44
22,"Jan 02, 2019",121.76
23,"Dec 31, 2018",124.45
24,"Dec 28, 2018",122.51
25,"Dec 27, 2018",122.38
26,"Dec 26, 2018",121.29
27,"Dec 24, 2018",116.13
28,"Dec 21, 2018",120.08
