,Date,Close
0,"Feb 05, 2019",55.76
1,"Feb 01, 2019",55.20
2,"Jan 31, 2019",56.34
3,"Jan 30, 2019",55.90
4,"Jan 29, 2019",54.10
5,"Jan 28, 2019",53.63
6,"Jan 25, 2019",55.06
7,"Jan 24, 2019",53.85
8,"Jan 23, 2019",54.21
9,"Jan 22, 2019",54.35
10,"Jan 18, 2019",55.97
11,"Jan 17, 2019",55.08
12,"Jan 16, 2019",53.30
13,"Jan 15, 2019",52.86
14,"Jan 14, 2019",53.09
15,"Jan 11, 2019",53.52
16,"Jan 10, 2019",53.32
17,"Jan 09, 2019",52.95
18,"Jan 08, 2019",51.82
19,"Jan 07, 2019",52.34
20,"Jan 04, 2019",51.72
21,"Jan 03, 2019",49.07
22,"Jan 02, 2019",51.30
23,"Dec 31, 2018",51.12
24,"Dec 28, 2018",51.09
25,"Dec 27, 2018",51.61
26,"Dec 26, 2018",50.82
27,"Dec 24, 2018",46.77
28,"Dec 21, 2018",49.36
