,Date,Close
0,"Feb 05, 2019",56.54
1,"Feb 01, 2019",56.55
2,"Jan 31, 2019",55.99
3,"Jan 30, 2019",56.83
4,"Jan 29, 2019",53.86
5,"Jan 28, 2019",52.41
6,"Jan 25, 2019",53.42
7,"Jan 24, 2019",52.57
8,"Jan 23, 2019",50.68
9,"Jan 22, 2019",52.01
10,"Jan 18, 2019",54.14
11,"Jan 17, 2019",53.58
12,"Jan 16, 2019",52.90
13,"Jan 15, 2019",53.39
14,"Jan 14, 2019",53.23
15,"Jan 11, 2019",53.43
16,"Jan 10, 2019",53.97
17,"Jan 09, 2019",53.51
18,"Jan 08, 2019",51.00
19,"Jan 07, 2019",50.67
20,"Jan 04, 2019",49.00
21,"Jan 03, 2019",48.06
22,"Jan 02, 2019",48.05
23,"Dec 31, 2018",47.94
24,"Dec 28, 2018",47.62
25,"Dec 27, 2018",47.73
26,"Dec 26, 2018",47.94
27,"Dec 24, 2018",44.95
28,"Dec 21, 2018",46.17
