,Date,Close
0,"Jan 18, 2019",25.63
1,"Jan 17, 2019",25.24
2,"Jan 16, 2019",25.03
3,"Jan 15, 2019",25.34
4,"Jan 14, 2019",25.57
5,"Jan 11, 2019",25.78
6,"Jan 10, 2019",25.60
7,"Jan 09, 2019",25.68
8,"Jan 08, 2019",25.45
9,"Jan 07, 2019",25.30
10,"Jan 04, 2019",25.46
11,"Jan 03, 2019",24.69
12,"Jan 02, 2019",25.58
13,"Dec 31, 2018",25.37
14,"Dec 28, 2018",25.23
15,"Dec 27, 2018",25.12
16,"Dec 26, 2018",24.84
17,"Dec 24, 2018",23.63
18,"Dec 21, 2018",23.94
19,"Dec 20, 2018",24.52
20,"Dec 19, 2018",25.10
21,"Dec 18, 2018",26.02
22,"Dec 17, 2018",26.23
23,"Dec 14, 2018",26.98
24,"Dec 13, 2018",27.03
25,"Dec 12, 2018",28.04
26,"Dec 11, 2018",27.76
27,"Dec 10, 2018",27.88
28,"Dec 07, 2018",27.04
29,"Dec 06, 2018",27.70
