,Date,Close
0,"Feb 05, 2019",42.09
1,"Feb 01, 2019",42.00
2,"Jan 31, 2019",42.32
3,"Jan 30, 2019",41.53
4,"Jan 29, 2019",41.75
5,"Jan 28, 2019",41.84
6,"Jan 25, 2019",41.46
7,"Jan 24, 2019",41.58
8,"Jan 23, 2019",42.72
9,"Jan 22, 2019",42.87
10,"Jan 18, 2019",43.84
11,"Jan 17, 2019",43.35
12,"Jan 16, 2019",42.84
13,"Jan 15, 2019",43.49
14,"Jan 14, 2019",42.71
15,"Jan 11, 2019",42.54
16,"Jan 10, 2019",43.25
17,"Jan 09, 2019",42.65
18,"Jan 08, 2019",42.31
19,"Jan 07, 2019",42.20
20,"Jan 04, 2019",41.70
21,"Jan 03, 2019",41.68
22,"Jan 02, 2019",41.33
23,"Dec 31, 2018",42.68
24,"Dec 28, 2018",42.37
25,"Dec 27, 2018",42.56
26,"Dec 26, 2018",42.34
27,"Dec 24, 2018",40.91
28,"Dec 21, 2018",42.54
