,Date,Close
0,"Feb 05, 2019",135.11
1,"Feb 01, 2019",134.10
2,"Jan 31, 2019",134.42
3,"Jan 30, 2019",134.38
4,"Jan 29, 2019",134.33
5,"Jan 28, 2019",134.27
6,"Jan 25, 2019",133.97
7,"Jan 24, 2019",132.53
8,"Jan 23, 2019",132.89
9,"Jan 22, 2019",122.52
10,"Jan 18, 2019",123.82
11,"Jan 17, 2019",122.19
12,"Jan 16, 2019",121.62
13,"Jan 15, 2019",121.73
14,"Jan 14, 2019",120.39
15,"Jan 11, 2019",121.46
16,"Jan 10, 2019",121.79
17,"Jan 09, 2019",120.69
18,"Jan 08, 2019",119.83
19,"Jan 07, 2019",118.15
20,"Jan 04, 2019",117.32
21,"Jan 03, 2019",112.91
22,"Jan 02, 2019",115.21
23,"Dec 31, 2018",113.67
24,"Dec 28, 2018",113.03
25,"Dec 27, 2018",113.78
26,"Dec 26, 2018",111.39
27,"Dec 24, 2018",107.57
28,"Dec 21, 2018",110.94
