,Date,Close
0,"Feb 05, 2019",77.10
1,"Feb 01, 2019",77.52
2,"Jan 31, 2019",76.76
3,"Jan 30, 2019",76.22
4,"Jan 29, 2019",75.35
5,"Jan 28, 2019",75.71
6,"Jan 25, 2019",75.76
7,"Jan 24, 2019",75.21
8,"Jan 23, 2019",76.06
9,"Jan 22, 2019",75.87
10,"Jan 18, 2019",75.63
11,"Jan 17, 2019",74.85
12,"Jan 16, 2019",74.51
13,"Jan 15, 2019",73.51
14,"Jan 14, 2019",72.70
15,"Jan 11, 2019",73.10
16,"Jan 10, 2019",72.78
17,"Jan 09, 2019",72.44
18,"Jan 08, 2019",72.15
19,"Jan 07, 2019",73.38
20,"Jan 04, 2019",75.67
21,"Jan 03, 2019",73.98
22,"Jan 02, 2019",75.33
23,"Dec 31, 2018",75.33
24,"Dec 28, 2018",74.45
25,"Dec 27, 2018",74.25
26,"Dec 26, 2018",73.25
27,"Dec 24, 2018",70.68
28,"Dec 21, 2018",72.82
