,Date,Close
0,"Feb 05, 2019",109.55
1,"Feb 01, 2019",107.83
2,"Jan 31, 2019",107.04
3,"Jan 30, 2019",106.98
4,"Jan 29, 2019",105.29
5,"Jan 28, 2019",104.45
6,"Jan 25, 2019",104.36
7,"Jan 24, 2019",102.71
8,"Jan 23, 2019",101.89
9,"Jan 22, 2019",103.80
10,"Jan 18, 2019",106.11
11,"Jan 17, 2019",99.92
12,"Jan 16, 2019",96.95
13,"Jan 15, 2019",97.08
14,"Jan 14, 2019",98.01
15,"Jan 11, 2019",97.48
16,"Jan 10, 2019",97.10
17,"Jan 09, 2019",96.97
18,"Jan 08, 2019",95.88
19,"Jan 07, 2019",93.24
20,"Jan 04, 2019",93.36
21,"Jan 03, 2019",90.89
22,"Jan 02, 2019",93.24
23,"Dec 31, 2018",93.04
24,"Dec 28, 2018",93.23
25,"Dec 27, 2018",93.80
26,"Dec 26, 2018",92.66
27,"Dec 24, 2018",88.67
28,"Dec 21, 2018",90.85
