,Date,Close
0,"Feb 05, 2019",33.86
1,"Feb 01, 2019",33.25
2,"Jan 31, 2019",33.77
3,"Jan 30, 2019",33.09
4,"Jan 29, 2019",32.82
5,"Jan 28, 2019",32.69
6,"Jan 25, 2019",32.71
7,"Jan 24, 2019",32.27
8,"Jan 23, 2019",32.04
9,"Jan 22, 2019",32.55
10,"Jan 18, 2019",32.73
11,"Jan 17, 2019",32.26
12,"Jan 16, 2019",31.67
13,"Jan 15, 2019",31.71
14,"Jan 14, 2019",32.37
15,"Jan 11, 2019",32.18
16,"Jan 10, 2019",31.88
17,"Jan 09, 2019",31.97
18,"Jan 08, 2019",31.94
19,"Jan 07, 2019",31.72
20,"Jan 04, 2019",31.21
21,"Jan 03, 2019",30.01
22,"Jan 02, 2019",30.50
23,"Dec 31, 2018",29.65
24,"Dec 28, 2018",29.61
25,"Dec 27, 2018",29.71
26,"Dec 26, 2018",29.74
27,"Dec 24, 2018",28.51
28,"Dec 21, 2018",29.47
