,Date,Close
0,"Feb 05, 2019",20.86
1,"Feb 01, 2019",20.69
2,"Jan 31, 2019",20.81
3,"Jan 30, 2019",20.94
4,"Jan 29, 2019",20.57
5,"Jan 28, 2019",20.52
6,"Jan 25, 2019",20.37
7,"Jan 24, 2019",20.03
8,"Jan 23, 2019",19.84
9,"Jan 22, 2019",20.02
10,"Jan 18, 2019",20.38
11,"Jan 17, 2019",19.90
12,"Jan 16, 2019",19.87
13,"Jan 15, 2019",19.48
14,"Jan 14, 2019",19.30
15,"Jan 11, 2019",19.09
16,"Jan 10, 2019",18.87
17,"Jan 09, 2019",18.51
18,"Jan 08, 2019",18.46
19,"Jan 07, 2019",18.29
20,"Jan 04, 2019",18.17
21,"Jan 03, 2019",17.36
22,"Jan 02, 2019",17.70
23,"Dec 31, 2018",17.36
24,"Dec 28, 2018",17.42
25,"Dec 27, 2018",17.43
26,"Dec 26, 2018",17.35
27,"Dec 24, 2018",16.39
28,"Dec 21, 2018",16.79
