,Date,Close
0,"Feb 05, 2019",26.10
1,"Feb 01, 2019",25.81
2,"Jan 31, 2019",25.94
3,"Jan 30, 2019",25.83
4,"Jan 29, 2019",27.95
5,"Jan 28, 2019",28.15
6,"Jan 25, 2019",28.38
7,"Jan 24, 2019",28.18
8,"Jan 23, 2019",27.99
9,"Jan 22, 2019",27.84
10,"Jan 18, 2019",28.32
11,"Jan 17, 2019",27.95
12,"Jan 16, 2019",28.07
13,"Jan 15, 2019",28.13
14,"Jan 14, 2019",27.90
15,"Jan 11, 2019",28.13
16,"Jan 10, 2019",28.26
17,"Jan 09, 2019",28.15
18,"Jan 08, 2019",27.87
19,"Jan 07, 2019",27.52
20,"Jan 04, 2019",27.00
21,"Jan 03, 2019",26.00
22,"Jan 02, 2019",26.89
23,"Dec 31, 2018",26.91
24,"Dec 28, 2018",26.75
25,"Dec 27, 2018",26.80
26,"Dec 26, 2018",26.60
27,"Dec 24, 2018",25.56
28,"Dec 21, 2018",26.23
