,Date,Close
0,"Feb 22, 2019",44.04
1,"Feb 21, 2019",44.49
2,"Feb 20, 2019",45.00
3,"Feb 19, 2019",45.25
4,"Feb 15, 2019",44.44
5,"Feb 14, 2019",43.90
6,"Feb 13, 2019",44.61
7,"Feb 12, 2019",45.75
8,"Feb 11, 2019",45.36
9,"Feb 08, 2019",45.47
10,"Feb 07, 2019",46.41
11,"Feb 06, 2019",46.11
12,"Feb 05, 2019",46.62
13,"Feb 04, 2019",45.82
14,"Feb 01, 2019",45.33
15,"Jan 31, 2019",46.41
16,"Jan 30, 2019",45.38
17,"Jan 29, 2019",45.92
18,"Jan 28, 2019",46.06
19,"Jan 25, 2019",47.08
20,"Jan 24, 2019",46.72
21,"Jan 23, 2019",46.63
22,"Jan 22, 2019",47.07
23,"Jan 18, 2019",47.52
24,"Jan 17, 2019",45.88
25,"Jan 16, 2019",45.01
26,"Jan 15, 2019",47.26
27,"Jan 14, 2019",47.28
28,"Jan 11, 2019",47.38
29,"Jan 10, 2019",47.30
