,Date,Close
0,"Feb 05, 2019",17.22
1,"Feb 01, 2019",17.16
2,"Jan 31, 2019",17.01
3,"Jan 30, 2019",17.34
4,"Jan 29, 2019",17.24
5,"Jan 28, 2019",17.02
6,"Jan 25, 2019",16.70
7,"Jan 24, 2019",16.40
8,"Jan 23, 2019",16.28
9,"Jan 22, 2019",16.45
10,"Jan 18, 2019",16.55
11,"Jan 17, 2019",16.56
12,"Jan 16, 2019",16.34
13,"Jan 15, 2019",16.16
14,"Jan 14, 2019",15.88
15,"Jan 11, 2019",15.87
16,"Jan 10, 2019",15.80
17,"Jan 09, 2019",15.74
18,"Jan 08, 2019",15.66
19,"Jan 07, 2019",15.34
20,"Jan 04, 2019",14.82
21,"Jan 03, 2019",14.55
22,"Jan 02, 2019",14.58
23,"Dec 31, 2018",14.65
24,"Dec 28, 2018",15.00
25,"Dec 27, 2018",15.04
26,"Dec 26, 2018",15.02
27,"Dec 24, 2018",14.31
28,"Dec 21, 2018",14.72
