,Date,Close
0,"Feb 05, 2019",106.41
1,"Feb 01, 2019",106.96
2,"Jan 31, 2019",106.57
3,"Jan 30, 2019",105.98
4,"Jan 29, 2019",100.99
5,"Jan 28, 2019",101.68
6,"Jan 25, 2019",101.39
7,"Jan 24, 2019",98.29
8,"Jan 23, 2019",91.85
9,"Jan 22, 2019",93.21
10,"Jan 18, 2019",95.73
11,"Jan 17, 2019",92.92
12,"Jan 16, 2019",90.96
13,"Jan 15, 2019",92.52
14,"Jan 14, 2019",92.43
15,"Jan 11, 2019",94.03
16,"Jan 10, 2019",93.71
17,"Jan 09, 2019",93.48
18,"Jan 08, 2019",91.13
19,"Jan 07, 2019",92.60
20,"Jan 04, 2019",91.30
21,"Jan 03, 2019",85.81
22,"Jan 02, 2019",90.91
23,"Dec 31, 2018",89.49
24,"Dec 28, 2018",88.63
25,"Dec 27, 2018",88.30
26,"Dec 26, 2018",86.05
27,"Dec 24, 2018",81.23
28,"Dec 21, 2018",85.67
