,Date,Close
0,"Jan 18, 2019",61.92
1,"Jan 17, 2019",64.56
2,"Jan 16, 2019",63.97
3,"Jan 15, 2019",64.39
4,"Jan 14, 2019",64.86
5,"Jan 11, 2019",64.99
6,"Jan 10, 2019",64.61
7,"Jan 09, 2019",65.64
8,"Jan 08, 2019",64.91
9,"Jan 07, 2019",66.43
10,"Jan 04, 2019",63.61
11,"Jan 03, 2019",61.89
12,"Jan 02, 2019",62.97
13,"Dec 31, 2018",62.73
14,"Dec 28, 2018",62.49
15,"Dec 27, 2018",63.18
16,"Dec 26, 2018",62.59
17,"Dec 24, 2018",59.05
18,"Dec 21, 2018",58.96
19,"Dec 20, 2018",56.72
20,"Dec 19, 2018",57.78
21,"Dec 18, 2018",59.76
22,"Dec 17, 2018",60.26
23,"Dec 14, 2018",61.21
24,"Dec 13, 2018",62.36
25,"Dec 12, 2018",63.34
26,"Dec 11, 2018",63.19
27,"Dec 10, 2018",62.34
28,"Dec 07, 2018",62.56
29,"Dec 06, 2018",64.52
