,Date,Close
0,"Feb 05, 2019",68.08
1,"Feb 01, 2019",66.69
2,"Jan 31, 2019",68.69
3,"Jan 30, 2019",69.10
4,"Jan 29, 2019",69.56
5,"Jan 28, 2019",69.43
6,"Jan 25, 2019",70.70
7,"Jan 24, 2019",68.34
8,"Jan 23, 2019",69.49
9,"Jan 22, 2019",69.30
10,"Jan 18, 2019",69.95
11,"Jan 17, 2019",68.84
12,"Jan 16, 2019",67.46
13,"Jan 15, 2019",67.26
14,"Jan 14, 2019",66.64
15,"Jan 11, 2019",67.27
16,"Jan 10, 2019",66.54
17,"Jan 09, 2019",69.90
18,"Jan 08, 2019",69.18
19,"Jan 07, 2019",68.01
20,"Jan 04, 2019",66.41
21,"Jan 03, 2019",66.37
22,"Jan 02, 2019",67.80
23,"Dec 31, 2018",66.34
24,"Dec 28, 2018",65.06
25,"Dec 27, 2018",64.82
26,"Dec 26, 2018",65.92
27,"Dec 24, 2018",59.79
28,"Dec 21, 2018",59.40
