,Date,Close
0,"Feb 05, 2019",26.62
1,"Feb 01, 2019",27.15
2,"Jan 31, 2019",27.84
3,"Jan 30, 2019",27.51
4,"Jan 29, 2019",27.72
5,"Jan 28, 2019",28.08
6,"Jan 25, 2019",27.65
7,"Jan 24, 2019",27.76
8,"Jan 23, 2019",27.17
9,"Jan 22, 2019",26.75
10,"Jan 18, 2019",27.33
11,"Jan 17, 2019",27.00
12,"Jan 16, 2019",26.70
13,"Jan 15, 2019",26.60
14,"Jan 14, 2019",26.44
15,"Jan 11, 2019",26.46
16,"Jan 10, 2019",26.99
17,"Jan 09, 2019",28.23
18,"Jan 08, 2019",28.20
19,"Jan 07, 2019",28.87
20,"Jan 04, 2019",27.71
21,"Jan 03, 2019",26.46
22,"Jan 02, 2019",26.31
23,"Dec 31, 2018",25.67
24,"Dec 28, 2018",25.46
25,"Dec 27, 2018",26.09
26,"Dec 26, 2018",26.16
27,"Dec 24, 2018",24.59
28,"Dec 21, 2018",24.91
