,Date,Close
0,"Feb 05, 2019",27.06
1,"Feb 01, 2019",26.43
2,"Jan 31, 2019",26.22
3,"Jan 30, 2019",26.57
4,"Jan 29, 2019",26.27
5,"Jan 28, 2019",26.30
6,"Jan 25, 2019",26.08
7,"Jan 24, 2019",26.24
8,"Jan 23, 2019",25.81
9,"Jan 22, 2019",25.90
10,"Jan 18, 2019",26.25
11,"Jan 17, 2019",26.90
12,"Jan 16, 2019",26.82
13,"Jan 15, 2019",26.66
14,"Jan 14, 2019",26.65
15,"Jan 11, 2019",26.32
16,"Jan 10, 2019",26.19
17,"Jan 09, 2019",25.78
18,"Jan 08, 2019",24.82
19,"Jan 07, 2019",24.17
20,"Jan 04, 2019",23.83
21,"Jan 03, 2019",22.91
22,"Jan 02, 2019",23.70
23,"Dec 31, 2018",23.73
24,"Dec 28, 2018",23.96
25,"Dec 27, 2018",24.09
26,"Dec 26, 2018",24.75
27,"Dec 24, 2018",23.90
28,"Dec 21, 2018",23.57
