,Date,Close
0,"Jan 18, 2019",42.95
1,"Jan 17, 2019",42.53
2,"Jan 16, 2019",42.39
3,"Jan 15, 2019",42.03
4,"Jan 14, 2019",41.25
5,"Jan 11, 2019",41.96
6,"Jan 10, 2019",42.51
7,"Jan 09, 2019",41.69
8,"Jan 08, 2019",42.07
9,"Jan 07, 2019",41.43
10,"Jan 04, 2019",41.72
11,"Jan 03, 2019",41.22
12,"Jan 02, 2019",41.15
13,"Dec 31, 2018",42.25
14,"Dec 28, 2018",42.05
15,"Dec 27, 2018",41.99
16,"Dec 26, 2018",41.68
17,"Dec 24, 2018",41.21
18,"Dec 21, 2018",43.45
19,"Dec 20, 2018",43.82
20,"Dec 19, 2018",43.72
21,"Dec 18, 2018",43.92
22,"Dec 17, 2018",44.13
23,"Dec 14, 2018",45.32
24,"Dec 13, 2018",46.12
25,"Dec 12, 2018",45.89
26,"Dec 11, 2018",46.28
27,"Dec 10, 2018",45.94
28,"Dec 07, 2018",45.84
29,"Dec 06, 2018",45.72
