,Date,Close
0,"Feb 22, 2019",53.62
1,"Feb 21, 2019",54.31
2,"Feb 20, 2019",54.41
3,"Feb 19, 2019",57.67
4,"Feb 15, 2019",57.70
5,"Feb 14, 2019",58.00
6,"Feb 13, 2019",58.00
7,"Feb 12, 2019",57.70
8,"Feb 11, 2019",58.28
9,"Feb 08, 2019",57.65
10,"Feb 07, 2019",57.48
11,"Feb 06, 2019",57.61
12,"Feb 05, 2019",57.88
13,"Feb 04, 2019",58.29
14,"Feb 01, 2019",57.13
15,"Jan 31, 2019",56.76
16,"Jan 30, 2019",57.49
17,"Jan 29, 2019",56.37
18,"Jan 28, 2019",55.52
19,"Jan 25, 2019",54.98
20,"Jan 24, 2019",54.21
21,"Jan 23, 2019",51.02
22,"Jan 22, 2019",50.54
23,"Jan 18, 2019",51.57
24,"Jan 17, 2019",50.59
25,"Jan 16, 2019",49.78
26,"Jan 15, 2019",49.61
27,"Jan 14, 2019",48.76
28,"Jan 11, 2019",48.52
29,"Jan 10, 2019",48.99
