,Date,Close
0,"Feb 22, 2019",89.14
1,"Feb 21, 2019",88.50
2,"Feb 20, 2019",89.16
3,"Feb 19, 2019",87.48
4,"Feb 15, 2019",87.64
5,"Feb 14, 2019",86.32
6,"Feb 13, 2019",86.05
7,"Feb 12, 2019",85.46
8,"Feb 11, 2019",83.91
9,"Feb 08, 2019",84.58
10,"Feb 07, 2019",84.59
11,"Feb 06, 2019",87.20
12,"Feb 05, 2019",87.57
13,"Feb 04, 2019",87.69
14,"Feb 01, 2019",88.89
15,"Jan 31, 2019",86.97
16,"Jan 30, 2019",88.22
17,"Jan 29, 2019",87.09
18,"Jan 28, 2019",86.14
19,"Jan 25, 2019",86.21
20,"Jan 24, 2019",83.96
21,"Jan 23, 2019",84.43
22,"Jan 22, 2019",85.80
23,"Jan 18, 2019",87.86
24,"Jan 17, 2019",85.85
25,"Jan 16, 2019",84.78
26,"Jan 15, 2019",84.58
27,"Jan 14, 2019",85.71
28,"Jan 11, 2019",86.00
29,"Jan 10, 2019",87.40
