,Date,Close
0,"Feb 22, 2019",104.50
1,"Feb 21, 2019",104.28
2,"Feb 20, 2019",103.21
3,"Feb 19, 2019",104.00
4,"Feb 15, 2019",104.18
5,"Feb 14, 2019",103.63
6,"Feb 13, 2019",104.04
7,"Feb 12, 2019",103.08
8,"Feb 11, 2019",103.90
9,"Feb 08, 2019",103.83
10,"Feb 07, 2019",103.49
11,"Feb 06, 2019",102.68
12,"Feb 05, 2019",102.70
13,"Feb 04, 2019",102.64
14,"Feb 01, 2019",100.76
15,"Jan 31, 2019",101.28
16,"Jan 30, 2019",104.13
17,"Jan 29, 2019",103.36
18,"Jan 28, 2019",102.35
19,"Jan 25, 2019",101.07
20,"Jan 24, 2019",99.97
21,"Jan 23, 2019",99.63
22,"Jan 22, 2019",99.85
23,"Jan 18, 2019",100.14
24,"Jan 17, 2019",100.00
25,"Jan 16, 2019",99.38
26,"Jan 15, 2019",97.97
27,"Jan 14, 2019",96.52
28,"Jan 11, 2019",97.19
29,"Jan 10, 2019",96.57
