,Date,Close
0,"Feb 22, 2019",37.81
1,"Feb 21, 2019",37.72
2,"Feb 20, 2019",37.57
3,"Feb 19, 2019",37.91
4,"Feb 15, 2019",37.46
5,"Feb 14, 2019",37.25
6,"Feb 13, 2019",37.18
7,"Feb 12, 2019",36.78
8,"Feb 11, 2019",36.23
9,"Feb 08, 2019",35.90
10,"Feb 07, 2019",35.52
11,"Feb 06, 2019",33.25
12,"Feb 05, 2019",33.19
13,"Feb 04, 2019",33.38
14,"Feb 01, 2019",33.04
15,"Jan 31, 2019",32.41
16,"Jan 30, 2019",32.18
17,"Jan 29, 2019",32.23
18,"Jan 28, 2019",32.11
19,"Jan 25, 2019",31.62
20,"Jan 24, 2019",31.47
21,"Jan 23, 2019",30.94
22,"Jan 22, 2019",30.99
23,"Jan 18, 2019",32.22
24,"Jan 17, 2019",31.61
25,"Jan 16, 2019",30.77
26,"Jan 15, 2019",31.45
27,"Jan 14, 2019",32.44
28,"Jan 11, 2019",32.56
29,"Jan 10, 2019",32.81
