,Date,Close
0,"Feb 22, 2019",14.07
1,"Feb 21, 2019",14.05
2,"Feb 20, 2019",13.63
3,"Feb 19, 2019",14.01
4,"Feb 15, 2019",13.82
5,"Feb 14, 2019",16.91
6,"Feb 13, 2019",17.07
7,"Feb 12, 2019",16.47
8,"Feb 11, 2019",15.74
9,"Feb 08, 2019",15.23
10,"Feb 07, 2019",12.36
11,"Feb 06, 2019",12.49
12,"Feb 05, 2019",12.42
13,"Feb 04, 2019",12.30
14,"Feb 01, 2019",12.22
15,"Jan 31, 2019",11.84
16,"Jan 30, 2019",12.29
17,"Jan 29, 2019",12.26
18,"Jan 28, 2019",12.44
19,"Jan 25, 2019",12.43
20,"Jan 24, 2019",12.27
21,"Jan 23, 2019",11.82
22,"Jan 22, 2019",12.18
23,"Jan 18, 2019",12.44
24,"Jan 17, 2019",12.67
25,"Jan 16, 2019",12.50
26,"Jan 15, 2019",12.58
27,"Jan 14, 2019",12.35
28,"Jan 11, 2019",12.25
29,"Jan 10, 2019",11.90
