,Date,Close
0,"Feb 22, 2019",89.04
1,"Feb 21, 2019",89.00
2,"Feb 20, 2019",89.65
3,"Feb 19, 2019",90.69
4,"Feb 15, 2019",91.10
5,"Feb 14, 2019",90.60
6,"Feb 13, 2019",91.19
7,"Feb 12, 2019",91.51
8,"Feb 11, 2019",88.96
9,"Feb 08, 2019",87.41
10,"Feb 07, 2019",88.07
11,"Feb 06, 2019",89.31
12,"Feb 05, 2019",83.24
13,"Feb 04, 2019",82.58
14,"Feb 01, 2019",81.87
15,"Jan 31, 2019",80.37
16,"Jan 30, 2019",80.49
17,"Jan 29, 2019",79.49
18,"Jan 28, 2019",80.25
19,"Jan 25, 2019",80.63
20,"Jan 24, 2019",78.44
21,"Jan 23, 2019",74.36
22,"Jan 22, 2019",75.18
23,"Jan 18, 2019",77.64
24,"Jan 17, 2019",76.15
25,"Jan 16, 2019",75.08
26,"Jan 15, 2019",75.01
27,"Jan 14, 2019",74.24
28,"Jan 11, 2019",77.13
29,"Jan 10, 2019",76.62
