,Date,Close
0,"Feb 22, 2019",47.72
1,"Feb 21, 2019",48.41
2,"Feb 20, 2019",47.99
3,"Feb 19, 2019",48.10
4,"Feb 15, 2019",48.16
5,"Feb 14, 2019",47.32
6,"Feb 13, 2019",47.61
7,"Feb 12, 2019",47.55
8,"Feb 11, 2019",47.45
9,"Feb 08, 2019",46.90
10,"Feb 07, 2019",46.50
11,"Feb 06, 2019",46.20
12,"Feb 05, 2019",45.98
13,"Feb 04, 2019",46.11
14,"Feb 01, 2019",45.57
15,"Jan 31, 2019",46.26
16,"Jan 30, 2019",43.81
17,"Jan 29, 2019",43.43
18,"Jan 28, 2019",43.12
19,"Jan 25, 2019",42.72
20,"Jan 24, 2019",43.03
21,"Jan 23, 2019",43.51
22,"Jan 22, 2019",43.13
23,"Jan 18, 2019",43.36
24,"Jan 17, 2019",43.04
25,"Jan 16, 2019",42.67
26,"Jan 15, 2019",42.94
27,"Jan 14, 2019",42.48
28,"Jan 11, 2019",42.23
29,"Jan 10, 2019",42.34
