,Date,Close
0,"Feb 22, 2019",93.77
1,"Feb 21, 2019",92.61
2,"Feb 20, 2019",92.80
3,"Feb 19, 2019",92.33
4,"Feb 15, 2019",92.27
5,"Feb 14, 2019",91.23
6,"Feb 13, 2019",90.67
7,"Feb 12, 2019",90.25
8,"Feb 11, 2019",89.60
9,"Feb 08, 2019",89.01
10,"Feb 07, 2019",88.90
11,"Feb 06, 2019",88.86
12,"Feb 05, 2019",88.03
13,"Feb 04, 2019",87.81
14,"Feb 01, 2019",88.31
15,"Jan 31, 2019",88.39
16,"Jan 30, 2019",87.83
17,"Jan 29, 2019",86.47
18,"Jan 28, 2019",86.42
19,"Jan 25, 2019",87.02
20,"Jan 24, 2019",87.23
21,"Jan 23, 2019",87.16
22,"Jan 22, 2019",87.00
23,"Jan 18, 2019",87.30
24,"Jan 17, 2019",87.60
25,"Jan 16, 2019",86.99
26,"Jan 15, 2019",86.03
27,"Jan 14, 2019",84.75
28,"Jan 11, 2019",84.84
29,"Jan 10, 2019",84.84
